blindage;crane;fullMedevac;hdu
-1158;0;-143;0
-1158;0;-291;0
-1158;0;-476;0
-1158;0;-649;0
0;-339;-406;-878
0;-289;-241;-874
0;-277;-75;-862
0;-277;0;-812
0;-277;0;-74
