21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
4127;4127;4127;4127;4127;4127;4127;4127;4127;4127;4127;4127;4127;4127;4127;4127;4127;4127
6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557
7890;7890;7890;7890;7890;7890;7890;7890;7890;7890;7890;7890;7890;7890;7890;7890;7890;7890
12276;12276;12276;12276;12276;12276;12276;12276;12276;12276;12276;12276;12276;12276;12276;12276;12276;12276
4801;5033;5264;5496;5727;5958;6190;6421;6653;6884;7581;8277;8974;9671;10367;11064;11761;12457
2155;2444;2732;3020;3309;3597;3885;4173;4462;4750;5103;5455;5808;6161;6513;6866;7219;7571
720;926;1133;1339;1545;1751;1957;2164;2370;2576;3066;3556;4046;4536;5027;5517;6007;6497
408;436;465;494;523;551;580;609;637;666;1280;1893;2507;3121;3734;4348;4962;5575
276;276;276;276;276;276;276;276;276;276;637.7;999.3;1361;1723;2084;2446;2808;3169
