21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
4463;4463;4463;4463;4463;4463;4463;4463;4463;4463;4463;4463;4463;4463;4463;4463;4463;4463
8248;8248;8248;8248;8248;8248;8248;8248;8248;8248;8248;8248;8248;8248;8248;8248;8248;8248
11594;11594;11594;11594;11594;11594;11594;11594;11594;11594;11594;11594;11594;11594;11594;11594;11594;11594
15770;15770;15770;15770;15770;15770;15770;15770;15770;15770;15770;15770;15770;15770;15770;15770;15770;15770
12949;13422;13896;14370;14844;15317;15791;16265;16738;17212;17539;17865;18192;18518;18845;19171;19498;19824
9032;9437;9843;10248;10653;11058;11463;11869;12274;12679;12679;12679;12679;12679;12679;12679;12679;12679
5124;5509;5894;6279;6665;7050;7435;7820;8205;8590;8590;8590;8590;8590;8590;8590;8590;8590
2014;2519;3023;3528;4033;4538;5043;5547;6052;6557;6557;6557;6557;6557;6557;6557;6557;6557
1190;1498;1807;2115;2423;2731;3039;3348;3656;3964;3964;3964;3964;3964;3964;3964;3964;3964
