21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
11958;11958;11958;11958;11958;11958;11958;11958;11958;11958;11958;11958;11958;11958;11958;11958;11958;11958
23792;23792;23792;23792;23792;23792;23792;23792;23792;23792;23792;23792;23792;23792;23792;23792;23792;23792
40445;40445;40445;40445;40445;40445;40445;40445;40445;40445;40445;40445;40445;40445;40445;40445;40445;40445
64656;64656;64656;64656;64656;64656;64656;64656;64656;64656;64656;64656;64656;64656;64656;64656;64656;64656
38722;43040;47359;51677;55996;60315;64633;68952;73270;77589;78027;78465;78904;79342;79780;80218;80657;81095
23276;26607;29939;33270;36602;39934;43265;46597;49928;53260;53260;53260;53261;53261;53261;53261;53262;53262
12801;15189;17576;19963;22351;24738;27125;29512;31900;34287;34287;34287;34287;34287;34287;34287;34287;34287
7032;8527;10023;11518;13013;14508;16003;17499;18994;20489;20489;20489;20489;20489;20488;20488;20488;20488
3556;3958;4361;4763;5165;5567;5969;6372;6774;7176;7176;7176;7176;7176;7176;7176;7176;7176
