H
11.873
12.458
13.956
14.490
15.023
15.556
16.141
16.674
17.207
17.741
18.325
18.909
19.443
19.976
20.509
21.094
21.678
22.211
22.745
23.278
23.862
24.446
24.980
25.513
26.047
26.631
11.770
12.328
12.862
13.395
13.929
14.487
15.046
15.580
16.113
16.646
17.205
17.764
18.297
18.831
19.364
19.923
20.482
21.015
21.549
22.082
22.641
23.200
23.733
24.266
24.800
25.359
25.917
26.451
26.984
27.518
28.076
11.770
12.328
12.862
13.395
13.929
14.487
15.046
15.580
16.113
16.646
17.205
17.764
18.297
18.831
19.364
19.923
20.482
21.015
21.549
22.082
22.641
23.200
23.733
24.266
24.800
25.359
25.917
26.451
26.984
27.518
28.076
11.771
12.305
12.838
13.371
13.956
14.539
15.073
15.607
16.140
16.877
17.410
17.943
18.477
19.061
19.645
20.179
20.712
21.245
21.982
22.515
23.049
23.582
24.166
24.751
25.284
25.817
26.351
28.273
